affiliation,keyword,ratio of articles that used this word
left_wing,flip,0.001
left_wing,scare,0.001
left_wing,cohen,0.004
left_wing,wouldnt,0.001
left_wing,famili,0.003
left_wing,trump,0.011
left_wing,truth,0.001
left_wing,week,0.001
left_wing,boss,0.001
left_wing,client,0.001
left_wing,crime,0.001
left_wing,testifi,0.001
left_wing,presid,0.001
left_wing,michael,0.001
left_wing,seri,0.001
left_wing,obsess,0.001
left_wing,murder,0.001
left_wing,psycho,0.001
left_wing,florida,0.003
left_wing,secret,0.001
left_wing,bundi,0.003
left_wing,night,0.001
left_wing,say,0.004
left_wing,dahlia,0.001
left_wing,ted,0.001
left_wing,killer,0.001
left_wing,black,0.004
left_wing,lahren,0.001
left_wing,im,0.004
left_wing,polit,0.003
left_wing,bs,0.001
left_wing,women,0.001
left_wing,woman,0.001
left_wing,tell,0.001
left_wing,right,0.003
left_wing,matter,0.001
left_wing,b,0.001
left_wing,cardi,0.001
left_wing,success,0.004
left_wing,amanda,0.001
left_wing,know,0.007
left_wing,think,0.007
left_wing,realli,0.006
left_wing,go,0.003
left_wing,social,0.001
left_wing,term,0.001
left_wing,folk,0.003
left_wing,comedi,0.003
left_wing,media,0.003
left_wing,authent,0.001
left_wing,seal,0.001
left_wing,carlson,0.001
left_wing,elizabeth,0.003
left_wing,capit,0.001
left_wing,salon,0.028
left_wing,interview,0.001
left_wing,vote,0.001
left_wing,polici,0.003
left_wing,way,0.011
left_wing,dont,0.004
left_wing,bash,0.001
left_wing,that,0.008
left_wing,thing,0.003
left_wing,tucker,0.001
left_wing,warren,0.004
left_wing,rig,0.001
left_wing,maid,0.001
left_wing,stephani,0.001
left_wing,your,0.017
left_wing,there,0.003
left_wing,poor,0.001
left_wing,land,0.001
left_wing,work,0.004
left_wing,money,0.006
left_wing,save,0.006
left_wing,hour,0.003
left_wing,math,0.001
left_wing,colleg,0.001
left_wing,olmst,0.001
left_wing,snapper,0.001
left_wing,fish,0.001
left_wing,here,0.001
left_wing,worst,0.001
left_wing,seafood,0.001
left_wing,bogu,0.001
left_wing,avoid,0.001
left_wing,organ,0.003
left_wing,littl,0.001
left_wing,en,0.001
left_wing,worri,0.001
left_wing,pinker,0.003
left_wing,existenti,0.001
left_wing,fake,0.001
left_wing,risk,0.001
left_wing,steven,0.001
left_wing,enlighten,0.001
left_wing,claim,0.001
left_wing,quot,0.001
left_wing,zencey,0.001
left_wing,mislead,0.001
left_wing,fals,0.001
left_wing,ai,0.003
left_wing,threat,0.001
left_wing,book,0.001
left_wing,assert,0.001
left_wing,rich,0.001
left_wing,popular,0.003
left_wing,plan,0.003
left_wing,tax,0.003
left_wing,wealth,0.001
left_wing,donald,0.001
left_wing,propos,0.001
left_wing,american,0.003
left_wing,esg,0.001
left_wing,sri,0.001
left_wing,fund,0.003
left_wing,index,0.001
left_wing,impact,0.001
left_wing,ethic,0.001
left_wing,religi,0.001
left_wing,compani,0.001
left_wing,belief,0.001
left_wing,invest,0.001
left_wing,make,0.003
left_wing,compromis,0.001
left_wing,probe,0.003
left_wing,doesnt,0.001
left_wing,campaign,0.004
left_wing,mueller,0.006
left_wing,russia,0.001
left_wing,indict,0.006
left_wing,wikileak,0.003
left_wing,meet,0.003
left_wing,russian,0.003
left_wing,email,0.003
left_wing,stone,0.003
left_wing,need,0.001
left_wing,state,0.004
left_wing,wrote,0.001
left_wing,dylan,0.003
left_wing,song,0.001
left_wing,57year,0.001
left_wing,collabor,0.001
left_wing,madison,0.001
left_wing,wisconsin,0.001
left_wing,felt,0.001
left_wing,bob,0.001
left_wing,what,0.001
left_wing,music,0.003
left_wing,talk,0.001
left_wing,rape,0.001
left_wing,special,0.001
left_wing,dark,0.001
left_wing,jena,0.001
left_wing,feminist,0.001
left_wing,campu,0.001
left_wing,soft,0.001
left_wing,friedman,0.001
left_wing,funni,0.001
left_wing,young,0.001
left_wing,line,0.001
left_wing,focu,0.001
left_wing,aim,0.001
left_wing,men,0.003
left_wing,project,0.001
left_wing,buzzfe,0.001
left_wing,hillari,0.001
left_wing,investig,0.003
left_wing,clinton,0.003
left_wing,democrat,0.003
left_wing,laugh,0.001
left_wing,renew,0.001
left_wing,burst,0.001
left_wing,lindsey,0.001
left_wing,graham,0.001
left_wing,committe,0.003
left_wing,step,0.003
left_wing,product,0.001
left_wing,journal,0.001
left_wing,stage,0.001
left_wing,set,0.003
left_wing,peac,0.001
left_wing,day,0.001
left_wing,sidekick,0.001
left_wing,routin,0.001
left_wing,morn,0.001
