affiliation,keyword,ratio of articles that used this word
right_wing,web,0.001
right_wing,site,0.001
right_wing,state,0.003
right_wing,possibl,0.001
right_wing,branch,0.001
right_wing,execut,0.001
right_wing,unit,0.003
right_wing,resourc,0.001
right_wing,presid,0.004
right_wing,sitesthi,0.001
right_wing,offici,0.001
right_wing,search,0.001
right_wing,lord,0.001
right_wing,prayer,0.001
right_wing,repli,0.001
right_wing,pray,0.001
right_wing,pst,0.001
right_wing,republ,0.001
right_wing,god,0.001
right_wing,media,0.001
right_wing,free,0.001
right_wing,illeg,0.001
right_wing,realli,0.001
right_wing,go,0.001
right_wing,art,0.001
right_wing,fail,0.001
right_wing,way,0.001
right_wing,cant,0.001
right_wing,deal,0.001
right_wing,american,0.003
right_wing,democrat,0.001
right_wing,trump,0.001
right_wing,global,0.001
right_wing,child,0.001
right_wing,children,0.003
right_wing,parent,0.001
right_wing,famili,0.003
right_wing,mother,0.001
right_wing,adult,0.001
right_wing,marriag,0.001
right_wing,samesex,0.001
right_wing,thembeforeu,0.001
right_wing,right,0.003
right_wing,movement,0.001
right_wing,germani,0.001
right_wing,citizen,0.001
right_wing,chancellor,0.001
right_wing,fight,0.001
right_wing,merkel,0.001
right_wing,jew,0.001
right_wing,intern,0.001
right_wing,german,0.001
right_wing,ap,0.001
right_wing,holocaust,0.001
right_wing,remembr,0.001
right_wing,antisemit,0.004
right_wing,call,0.001
right_wing,bu,0.001
right_wing,appar,0.001
right_wing,driver,0.001
right_wing,beg,0.001
right_wing,boy,0.001
right_wing,bulli,0.001
right_wing,investig,0.001
right_wing,student,0.003
right_wing,video,0.001
right_wing,show,0.001
right_wing,statement,0.001
right_wing,grove,0.001
right_wing,stay,0.001
right_wing,school,0.001
right_wing,elizabeth,0.001
right_wing,terror,0.001
right_wing,warren,0.003
right_wing,tax,0.001
right_wing,necessari,0.001
right_wing,unmerit,0.001
right_wing,power,0.001
right_wing,kulak,0.001
right_wing,senat,0.001
right_wing,wealthi,0.001
right_wing,revolut,0.001
right_wing,forfeitur,0.001
right_wing,asset,0.001
right_wing,zucman,0.001
right_wing,zeldin,0.001
right_wing,resolut,0.001
right_wing,hatr,0.001
right_wing,israel,0.001
right_wing,repres,0.001
right_wing,immedi,0.001
right_wing,republican,0.001
right_wing,introduc,0.001
right_wing,muslim,0.001
right_wing,condemn,0.001
right_wing,world,0.004
right_wing,discrimin,0.001
right_wing,rep,0.001
right_wing,antiisrael,0.001
right_wing,correl,0.001
right_wing,doesnt,0.001
right_wing,recent,0.001
right_wing,provid,0.001
right_wing,open,0.001
right_wing,rate,0.001
right_wing,hookworm,0.001
right_wing,ocasiocortez,0.001
right_wing,run,0.001
right_wing,billionair,0.001
right_wing,alexandria,0.001
right_wing,invers,0.001
right_wing,danger,0.001
right_wing,intestin,0.001
right_wing,parasit,0.001
right_wing,actual,0.001
right_wing,san,0.001
right_wing,know,0.003
right_wing,vaniti,0.001
right_wing,space,0.001
right_wing,person,0.001
right_wing,makeup,0.001
right_wing,tabl,0.001
right_wing,women,0.001
right_wing,woman,0.001
right_wing,mirror,0.001
right_wing,import,0.001
right_wing,need,0.001
right_wing,biggest,0.001
right_wing,china,0.003
right_wing,retail,0.001
right_wing,ecommerc,0.001
right_wing,onlin,0.001
right_wing,total,0.001
right_wing,research,0.001
right_wing,surpass,0.001
right_wing,growth,0.001
right_wing,sale,0.001
right_wing,consum,0.001
right_wing,consumpt,0.001
right_wing,market,0.001
right_wing,bomb,0.001
right_wing,vehicl,0.001
right_wing,ww3,0.001
right_wing,tonn,0.003
right_wing,putin,0.001
right_wing,okhotnikb,0.001
right_wing,unman,0.001
right_wing,secret,0.001
right_wing,work,0.001
right_wing,pictur,0.001
right_wing,week,0.003
right_wing,bomber,0.001
right_wing,drone,0.001
right_wing,spring,0.001
right_wing,stealth,0.001
right_wing,carri,0.001
right_wing,warn,0.001
right_wing,factori,0.001
right_wing,matamoro,0.001
right_wing,labor,0.001
right_wing,union,0.001
right_wing,wage,0.001
right_wing,mexican,0.001
right_wing,25000,0.001
right_wing,minimum,0.001
right_wing,hike,0.001
right_wing,worker,0.001
right_wing,rest,0.001
right_wing,strike,0.001
right_wing,border,0.001
right_wing,mexico,0.001
right_wing,strand,0.001
right_wing,migrant,0.001
right_wing,survey,0.001
right_wing,caravan,0.001
right_wing,major,0.001
right_wing,cross,0.001
right_wing,central,0.001
right_wing,profil,0.001
right_wing,who,0.001
right_wing,iom,0.001
right_wing,tijuana,0.001
right_wing,today,0.001
right_wing,boulder,0.001
right_wing,caldara,0.001
right_wing,intoler,0.001
right_wing,end,0.001
right_wing,toler,0.001
right_wing,hometown,0.001
right_wing,core,0.001
right_wing,selfidentifi,0.001
right_wing,crimin,0.001
right_wing,submit,0.001
