affiliation,keyword,ratio of articles that used this word
left_wing,conserv,0.074
left_wing,will,0.037
left_wing,cave,0.074
left_wing,fund,0.037
left_wing,decis,0.037
left_wing,shutdown,0.074
left_wing,trump,0.37
left_wing,wall,0.074
left_wing,deal,0.037
left_wing,defens,0.037
left_wing,presid,0.222
left_wing,say,0.074
left_wing,support,0.037
left_wing,shock,0.037
left_wing,abus,0.037
left_wing,neverland,0.037
left_wing,video,0.074
left_wing,leav,0.037
left_wing,warn,0.074
left_wing,jackson,0.074
left_wing,utah,0.037
left_wing,michael,0.037
left_wing,film,0.037
left_wing,crowd,0.037
left_wing,charg,0.037
left_wing,wade,0.037
left_wing,robson,0.037
left_wing,child,0.037
left_wing,sexual,0.037
left_wing,documentari,0.037
left_wing,illeg,0.037
left_wing,immigr,0.074
left_wing,12,0.037
left_wing,manag,0.037
left_wing,club,0.037
left_wing,cours,0.037
left_wing,undocu,0.037
left_wing,york,0.037
left_wing,told,0.037
left_wing,worker,0.037
left_wing,golf,0.037
left_wing,fire,0.037
left_wing,lawyer,0.037
left_wing,end,0.037
left_wing,probabl,0.037
left_wing,predict,0.037
left_wing,democrat,0.037
left_wing,that,0.037
left_wing,go,0.037
left_wing,lindsey,0.037
left_wing,dire,0.037
left_wing,graham,0.074
left_wing,forgotten,0.037
left_wing,twitter,0.074
left_wing,week,0.037
left_wing,host,0.037
left_wing,hanniti,0.037
left_wing,donald,0.037
left_wing,fox,0.037
left_wing,way,0.037
left_wing,issu,0.037
left_wing,know,0.037
left_wing,claim,0.037
left_wing,sean,0.037
left_wing,congress,0.037
left_wing,ginni,0.037
left_wing,rightw,0.037
left_wing,white,0.074
left_wing,hous,0.074
left_wing,wife,0.037
left_wing,report,0.037
left_wing,suprem,0.037
left_wing,meet,0.037
left_wing,bizarr,0.037
left_wing,thoma,0.037
left_wing,time,0.037
left_wing,activist,0.037
left_wing,justic,0.037
left_wing,ross,0.037
left_wing,steve,0.037
left_wing,perplex,0.037
left_wing,martin,0.074
left_wing,stone,0.037
left_wing,pardon,0.037
left_wing,crazi,0.037
left_wing,mckinnon,0.037
left_wing,snl,0.037
left_wing,roger,0.037
left_wing,think,0.037
left_wing,wild,0.037
left_wing,plead,0.037
left_wing,open,0.037
left_wing,viewer,0.037
left_wing,reveal,0.037
left_wing,call,0.037
left_wing,view,0.037
left_wing,toni,0.037
left_wing,colbert,0.037
left_wing,sick,0.037
left_wing,late,0.037
left_wing,happen,0.037
left_wing,shalhoubcheck,0.037
left_wing,stephen,0.037
left_wing,disast,0.037
left_wing,pressth,0.037
left_wing,miss,0.037
left_wing,brazil,0.037
left_wing,burst,0.037
left_wing,hundr,0.037
left_wing,billion,0.037
left_wing,iron,0.037
left_wing,samarco,0.037
left_wing,ore,0.037
left_wing,dam,0.037
left_wing,vale,0.037
left_wing,reai,0.037
left_wing,state,0.037
left_wing,collaps,0.037
left_wing,addict,0.037
left_wing,erupt,0.037
left_wing,separ,0.037
left_wing,continu,0.037
left_wing,melania,0.037
left_wing,vow,0.037
left_wing,fight,0.037
left_wing,ladi,0.037
left_wing,parent,0.037
left_wing,children,0.037
left_wing,work,0.037
