affiliation,keyword,ratio of articles that used this word
neutral,daili,0.009055627425614488
neutral,record,0.0038809831824062097
neutral,world,0.0129366106080207
neutral,uk,0.0129366106080207
neutral,holyrood,0.00258732212160414
neutral,latest,0.0038809831824062097
neutral,westminst,0.00129366106080207
neutral,court,0.009055627425614488
neutral,crime,0.00129366106080207
neutral,health,0.00517464424320828
neutral,scottish,0.015523932729624839
neutral,read,0.00129366106080207
neutral,scotland,0.019404915912031046
neutral,consum,0.00258732212160414
neutral,busi,0.00517464424320828
neutral,weird,0.00258732212160414
neutral,tech,0.00129366106080207
neutral,scienc,0.00129366106080207
neutral,help,0.007761966364812419
neutral,click,0.00129366106080207
neutral,solv,0.00129366106080207
neutral,updat,0.01164294954721863
neutral,email,0.00258732212160414
neutral,judg,0.00258732212160414
neutral,thejudgesundaymailcouk,0.00129366106080207
neutral,use,0.009055627425614488
neutral,address,0.00129366106080207
neutral,letter,0.00258732212160414
neutral,includ,0.0038809831824062097
neutral,subscrib,0.07503234152652005
neutral,form,0.00129366106080207
neutral,problem,0.00258732212160414
neutral,burst,0.00129366106080207
neutral,flame,0.00129366106080207
neutral,sfr,0.00129366106080207
neutral,servic,0.0038809831824062097
neutral,road,0.0129366106080207
neutral,confirm,0.0038809831824062097
neutral,a861,0.00129366106080207
neutral,emerg,0.00258732212160414
neutral,glen,0.00129366106080207
neutral,scene,0.0038809831824062097
neutral,attend,0.00129366106080207
neutral,car,0.007761966364812419
neutral,middl,0.00129366106080207
neutral,near,0.00129366106080207
neutral,crew,0.00129366106080207
neutral,highland,0.00129366106080207
neutral,live,0.009055627425614488
neutral,wyld,0.00129366106080207
neutral,goal,0.00129366106080207
neutral,way,0.01034928848641656
neutral,livingston,0.00129366106080207
neutral,macaroni,0.00129366106080207
neutral,steven,0.0038809831824062097
neutral,premiership,0.00129366106080207
neutral,defo,0.00258732212160414
neutral,bench,0.00129366106080207
neutral,toni,0.00129366106080207
neutral,win,0.009055627425614488
neutral,ranger,0.00517464424320828
neutral,took,0.00517464424320828
neutral,clash,0.00129366106080207
neutral,left,0.0038809831824062097
neutral,west,0.00646830530401035
neutral,score,0.00129366106080207
neutral,scandalhit,0.00129366106080207
neutral,mr,0.00129366106080207
neutral,misdiagnos,0.00129366106080207
neutral,care,0.00258732212160414
neutral,scot,0.01034928848641656
neutral,lose,0.00129366106080207
neutral,failur,0.00129366106080207
neutral,woman,0.015523932729624839
neutral,pregnant,0.00517464424320828
neutral,babi,0.014230271668822769
neutral,doc,0.00129366106080207
neutral,patient,0.00517464424320828
neutral,append,0.00129366106080207
neutral,sign,0.00517464424320828
neutral,hospit,0.00517464424320828
neutral,sepsi,0.0038809831824062097
neutral,xmen,0.00129366106080207
neutral,jame,0.00258732212160414
neutral,american,0.0038809831824062097
neutral,video,0.014230271668822769
neutral,night,0.00646830530401035
neutral,pilot,0.00258732212160414
neutral,mcavoy,0.00129366106080207
neutral,watch,0.0038809831824062097
neutral,accent,0.00129366106080207
neutral,famili,0.00646830530401035
neutral,viewer,0.00129366106080207
neutral,thick,0.00129366106080207
neutral,bamboozl,0.00129366106080207
neutral,sketch,0.00129366106080207
neutral,train,0.00129366106080207
neutral,delay,0.00258732212160414
neutral,high,0.00129366106080207
neutral,larg,0.0038809831824062097
neutral,weather,0.0038809831824062097
neutral,sea,0.00129366106080207
neutral,caus,0.00129366106080207
neutral,ferri,0.00129366106080207
neutral,chao,0.00129366106080207
neutral,met,0.00646830530401035
neutral,line,0.00258732212160414
neutral,travel,0.00646830530401035
neutral,rail,0.00129366106080207
neutral,warn,0.00129366106080207
neutral,wind,0.00129366106080207
neutral,boy,0.00258732212160414
neutral,jackson,0.00258732212160414
neutral,say,0.00646830530401035
neutral,bedtim,0.00129366106080207
neutral,hotel,0.00129366106080207
neutral,session,0.00129366106080207
neutral,jacuzzi,0.00129366106080207
neutral,michael,0.00258732212160414
neutral,nake,0.00129366106080207
neutral,sleep,0.0038809831824062097
neutral,mum,0.014230271668822769
neutral,told,0.01164294954721863
neutral,star,0.014230271668822769
neutral,bed,0.00129366106080207
neutral,rubba,0.00129366106080207
neutral,life,0.007761966364812419
neutral,need,0.00517464424320828
neutral,afford,0.00129366106080207
neutral,univers,0.00258732212160414
neutral,kidney,0.00129366106080207
neutral,work,0.02069857697283312
neutral,forc,0.00646830530401035
neutral,caravan,0.00129366106080207
neutral,eat,0.00129366106080207
neutral,credit,0.00129366106080207
neutral,rent,0.00129366106080207
neutral,roadsid,0.00129366106080207
neutral,dad,0.00258732212160414
neutral,freez,0.00129366106080207
neutral,transplant,0.00129366106080207
neutral,pension,0.00258732212160414
neutral,73,0.00129366106080207
neutral,injuri,0.00258732212160414
neutral,collis,0.00129366106080207
neutral,fife,0.00129366106080207
neutral,taken,0.00258732212160414
neutral,die,0.009055627425614488
neutral,smash,0.00129366106080207
neutral,seriou,0.00258732212160414
neutral,threecar,0.00129366106080207
neutral,tourist,0.00129366106080207
neutral,cardboard,0.00129366106080207
neutral,makeshift,0.00129366106080207
neutral,homeless,0.0038809831824062097
neutral,rough,0.00258732212160414
neutral,graveyard,0.00129366106080207
neutral,hous,0.0038809831824062097
neutral,greyfriar,0.00129366106080207
neutral,edinburgh,0.00646830530401035
neutral,desper,0.00129366106080207
neutral,shelter,0.00129366106080207
neutral,creat,0.00258732212160414
neutral,sundaypolic,0.00129366106080207
neutral,cop,0.0038809831824062097
neutral,launch,0.00129366106080207
neutral,dead,0.00129366106080207
neutral,thank,0.00258732212160414
neutral,investig,0.00129366106080207
neutral,glenshe,0.00129366106080207
neutral,tri,0.01164294954721863
neutral,horror,0.00129366106080207
neutral,driver,0.00129366106080207
neutral,inform,0.0038809831824062097
neutral,incid,0.00258732212160414
neutral,crash,0.00258732212160414
neutral,mourner,0.00129366106080207
neutral,went,0.0038809831824062097
neutral,victim,0.00517464424320828
neutral,attack,0.0038809831824062097
neutral,vigil,0.00129366106080207
neutral,nois,0.00129366106080207
neutral,leav,0.0038809831824062097
neutral,murder,0.0038809831824062097
neutral,glasgow,0.007761966364812419
neutral,firework,0.00258732212160414
neutral,funer,0.00129366106080207
neutral,terrifi,0.00129366106080207
neutral,church,0.00129366106080207
neutral,sicken,0.00129366106080207
neutral,area,0.00129366106080207
neutral,shettleston,0.00129366106080207
neutral,royal,0.01034928848641656
neutral,stab,0.00129366106080207
neutral,18,0.00129366106080207
neutral,street,0.00646830530401035
neutral,man,0.0129366106080207
neutral,men,0.0038809831824062097
neutral,infirmari,0.00129366106080207
neutral,arrest,0.00129366106080207
neutral,heart,0.00258732212160414
neutral,rest,0.00129366106080207
neutral,strengthen,0.00129366106080207
neutral,squad,0.00129366106080207
neutral,kilmarnock,0.00129366106080207
neutral,celtic,0.01034928848641656
neutral,day,0.00517464424320828
neutral,hib,0.009055627425614488
neutral,jordan,0.00129366106080207
neutral,window,0.00258732212160414
neutral,transfer,0.00258732212160414
neutral,deal,0.00129366106080207
neutral,weit,0.00129366106080207
neutral,link,0.0038809831824062097
neutral,unlik,0.00129366106080207
neutral,plu,0.00129366106080207
neutral,insid,0.00258732212160414
neutral,london,0.0038809831824062097
neutral,beckham,0.00517464424320828
neutral,instagramimag,0.00258732212160414
neutral,children,0.00258732212160414
neutral,room,0.0038809831824062097
neutral,small,0.00258732212160414
neutral,featur,0.00258732212160414
neutral,david,0.00517464424320828
neutral,white,0.0038809831824062097
neutral,315million,0.00258732212160414
neutral,victoria,0.007761966364812419
neutral,extravag,0.00258732212160414
neutral,injur,0.00129366106080207
neutral,philip,0.00258732212160414
neutral,receiv,0.00129366106080207
neutral,sorri,0.00129366106080207
neutral,princ,0.007761966364812419
neutral,emma,0.00258732212160414
neutral,deepli,0.00129366106080207
neutral,duke,0.00258732212160414
neutral,write,0.00258732212160414
neutral,final,0.00517464424320828
neutral,know,0.009055627425614488
neutral,call,0.0038809831824062097
neutral,actual,0.00258732212160414
neutral,tip,0.0038809831824062097
neutral,pg,0.00258732212160414
neutral,georg,0.0038809831824062097
neutral,tell,0.0038809831824062097
neutral,start,0.00646830530401035
neutral,archi,0.00258732212160414
neutral,astonish,0.00258732212160414
neutral,name,0.0038809831824062097
neutral,dog,0.00258732212160414
neutral,walker,0.00258732212160414
neutral,later,0.01034928848641656
neutral,markl,0.00517464424320828
neutral,secur,0.00129366106080207
neutral,door,0.00258732212160414
neutral,mirror,0.00129366106080207
neutral,meghan,0.00517464424320828
neutral,close,0.0038809831824062097
neutral,risk,0.00258732212160414
neutral,put,0.00129366106080207
neutral,report,0.00258732212160414
neutral,marriag,0.00129366106080207
neutral,love,0.00517464424320828
neutral,duchess,0.00258732212160414
neutral,dirti,0.00129366106080207
neutral,sex,0.00517464424320828
neutral,margaret,0.00258732212160414
neutral,headless,0.00129366106080207
neutral,scandal,0.00258732212160414
neutral,campbel,0.00129366106080207
neutral,paid,0.00129366106080207
neutral,council,0.0038809831824062097
neutral,refus,0.0038809831824062097
neutral,despit,0.00258732212160414
neutral,wors,0.00129366106080207
neutral,thousand,0.00129366106080207
neutral,grit,0.00129366106080207
neutral,henderson,0.00129366106080207
neutral,state,0.00129366106080207
neutral,get,0.00129366106080207
neutral,pothol,0.00129366106080207
neutral,riddl,0.00129366106080207
neutral,forgotten,0.00129366106080207
neutral,reliv,0.00129366106080207
neutral,complet,0.00129366106080207
neutral,interest,0.00129366106080207
neutral,half,0.00129366106080207
neutral,wont,0.00258732212160414
neutral,recap,0.00129366106080207
neutral,suspend,0.0038809831824062097
neutral,action,0.00258732212160414
neutral,comeback,0.00129366106080207
neutral,visitor,0.00129366106080207
neutral,mirren,0.00258732212160414
neutral,tablebi,0.00129366106080207
neutral,st,0.00258732212160414
neutral,career,0.00129366106080207
neutral,move,0.00258732212160414
neutral,mcardl,0.00129366106080207
neutral,proud,0.0038809831824062097
neutral,spend,0.00129366106080207
neutral,reveal,0.01034928848641656
neutral,queen,0.0038809831824062097
neutral,mari,0.00129366106080207
neutral,stage,0.00646830530401035
neutral,nesbitt,0.00129366106080207
neutral,upedinburghborn,0.00129366106080207
neutral,potenti,0.00258732212160414
neutral,nina,0.00129366106080207
neutral,give,0.00129366106080207
neutral,vow,0.00258732212160414
neutral,wild,0.00129366106080207
neutral,runaround,0.00129366106080207
neutral,stop,0.00129366106080207
neutral,written,0.00258732212160414
neutral,week,0.01164294954721863
neutral,boyfriend,0.00129366106080207
neutral,mel,0.00258732212160414
neutral,inject,0.0038809831824062097
neutral,wife,0.00517464424320828
neutral,sale,0.00258732212160414
neutral,23m,0.00258732212160414
neutral,reebok,0.00258732212160414
neutral,struggl,0.00258732212160414
neutral,bail,0.00258732212160414
neutral,luxuri,0.00258732212160414
neutral,cash,0.00258732212160414
neutral,fashion,0.00258732212160414
neutral,celeb,0.00129366106080207
neutral,nick,0.00129366106080207
neutral,ball,0.00129366106080207
neutral,nspcc,0.00129366106080207
neutral,eyepatch,0.00129366106080207
neutral,pirat,0.00129366106080207
